USER_ID,DOB_STR,STATUS
2204115,04031992,ACTIVE
2204116,13112004,ACTIVE
2204117,22022007,ACTIVE
2204118,12072007,ACTIVE
2204119,28072007,ACTIVE
2204120,20062007,ACTIVE
2204121,21122003,ACTIVE
2204122,30092009,ACTIVE
2205101,06102006,ACTIVE
2205102,07102009,BLACKLIST
2205103,08091986,ACTIVE
2205104,31071998,ACTIVE
2205105,21102006,ACTIVE
2205106,25101999,ACTIVE
2205107,31072003,ACTIVE
2205108,05042005,BLACKLIST
2205109,29032008,ACTIVE
2205110,21122006,ACTIVE
2205111,27072007,ACTIVE
2205112,07022008,ACTIVE
2205113,12032010,ACTIVE
2205114,23102009,ACTIVE
2205115,20122007,ACTIVE
2205116,01052001,ACTIVE
2205117,04092007,ACTIVE
2205118,23112008,ACTIVE
2205119,13022008,ACTIVE
2205120,21062008,ACTIVE
2205121,23102010,ACTIVE
2205122,11102006,ACTIVE
2205123,07091997,ACTIVE
2205124,26081989,ACTIVE
2205125,09072008,ACTIVE
2206101,22102009,ACTIVE
2206102,23042009,ACTIVE
2206103,17012001,ACTIVE
2206104,03101992,ACTIVE
2206105,17092010,ACTIVE
2206106,28031997,ACTIVE
2206107,28011998,ACTIVE
2206108,10011986,ACTIVE
2206109,25032009,ACTIVE
2206110,27051992,ACTIVE
2206111,29122009,ACTIVE
2206112,19032010,ACTIVE
2206113,17092008,ACTIVE
2206114,23012009,ACTIVE
2206115,24062008,ACTIVE
2206116,06092009,ACTIVE
2206117,11091997,ACTIVE
2206118,23032006,ACTIVE
2206119,02062010,ACTIVE
2206120,25052003,BLACKLIST
2206121,25061988,ACTIVE
2206122,16022010,ACTIVE
2206123,29042009,ACTIVE
2206124,21121999,ACTIVE
2206125,24042010,ACTIVE
2207101,18062003,ACTIVE
2207102,17072008,ACTIVE
2207103,10022009,BLACKLIST
2207104,09022006,ACTIVE
2207105,21062008,ACTIVE
2207106,23102011,ACTIVE
2207107,22061994,ACTIVE
2207108,10122007,ACTIVE
2207109,04122009,ACTIVE
2207110,18082009,ACTIVE
2207111,10122010,ACTIVE
2207112,08052005,ACTIVE
2207113,28102009,ACTIVE
2207114,09092009,ACTIVE
2207115,05012010,BLACKLIST
2207116,03072003,ACTIVE
2207117,18051989,ACTIVE
2207118,08082001,ACTIVE
2207119,25072008,ACTIVE
2207120,27082008,ACTIVE
2207121,17092010,ACTIVE
2208101,24032010,ACTIVE
2208102,27022008,ACTIVE
2208103,23121993,ACTIVE
2208104,03102008,ACTIVE
2208105,09012008,ACTIVE
2208106,18012000,ACTIVE
2208107,24062007,ACTIVE
2208108,03082001,ACTIVE
2208109,14122004,ACTIVE
2208110,22102009,ACTIVE
2208111,04082011,ACTIVE
2208112,17022004,ACTIVE
2208113,17081994,ACTIVE
2208114,07032009,ACTIVE
2208115,01011900,NON-ACTIVE
2208116,16012008,ACTIVE
2208117,01062005,ACTIVE
2209101,06112010,ACTIVE
2209102,19102010,ACTIVE
2209103,31082022,ACTIVE
2209104,26022021,ACTIVE
2209105,18041998,ACTIVE
2209106,25052009,ACTIVE
2209107,18052008,ACTIVE
2209108,09122006,ACTIVE
2209109,17092008,ACTIVE
2209110,05092007,ACTIVE
2209111,12112003,ACTIVE
2209112,20091998,ACTIVE
2209113,09092003,ACTIVE
2209114,21052008,ACTIVE
2209115,24101997,ACTIVE
2210101,14092001,ACTIVE
2210102,30042009,BLACKLIST
2210103,12102004,ACTIVE
2210104,04102008,ACTIVE
2210105,07052010,ACTIVE
2210106,23122010,ACTIVE
2210107,11062008,ACTIVE
2210108,15102007,ACTIVE
2210109,21082006,ACTIVE
2210110,05102009,ACTIVE
2210111,28102010,ACTIVE
2210112,01032004,ACTIVE
2210113,26062022,ACTIVE
2210114,05042009,ACTIVE
2210115,15072004,ACTIVE
2210116,16062010,BLACKLIST
2210117,02032009,ACTIVE
2210118,22102008,BLACKLIST
2210119,26102008,ACTIVE
2210120,24112001,BLACKLIST
2210121,28052006,ACTIVE
2210122,18032005,ACTIVE
2210123,19102007,ACTIVE
2210124,18042006,ACTIVE
2210125,12062000,ACTIVE
2210126,17062021,ACTIVE
2210127,22091988,ACTIVE
2210128,26112010,ACTIVE
2212101,24092010,ACTIVE
2212102,24072009,ACTIVE
2212103,25082008,ACTIVE
2212104,31122007,ACTIVE
2212105,10122003,ACTIVE
2212106,01071996,ACTIVE
2212107,19022008,ACTIVE
2212108,18101994,ACTIVE
2212109,12112005,ACTIVE
2212110,26102000,ACTIVE
2212111,18102000,ACTIVE
2212112,14012002,ACTIVE
2212113,02112010,ACTIVE
2212114,24022009,ACTIVE
2212115,23062002,ACTIVE
2212116,22092002,ACTIVE
2212117,07092004,ACTIVE
2212118,03072010,ACTIVE
2212119,20052002,ACTIVE
2212120,25012007,ACTIVE
2212121,20072009,ACTIVE
2212122,01011900,NON-ACTIVE
2212123,10082003,ACTIVE
2212124,12022007,ACTIVE
2212125,16102005,BLACKLIST
2212126,13082003,ACTIVE
2212127,22062011,ACTIVE
2212128,06102009,ACTIVE
2212129,24042012,ACTIVE
2212130,18032010,ACTIVE
2212131,15112007,ACTIVE
2212132,19041984,ACTIVE
2301101,18122002,ACTIVE
2301102,29102007,ACTIVE
2301103,24092009,ACTIVE
2301104,21112009,ACTIVE
2302101,11041997,ACTIVE
2302102,28072007,ACTIVE
2302103,17102007,ACTIVE
2302104,27032009,ACTIVE
2302105,08022003,ACTIVE
2302106,23042005,ACTIVE
2302107,26101993,ACTIVE
2302108,20022001,ACTIVE
2302109,20022004,ACTIVE
2302110,14022009,ACTIVE
2302111,25062013,ACTIVE
2302112,25012005,ACTIVE
2302113,11012005,ACTIVE
2303101,04072008,ACTIVE
2303102,15021997,ACTIVE
2303103,17062000,ACTIVE
2303104,10012004,ACTIVE
2303105,01072010,ACTIVE
2303106,26062004,ACTIVE
2304101,21112006,ACTIVE
2304102,06031994,ACTIVE
2304103,08092003,ACTIVE
2304104,16042006,ACTIVE
2304105,17122011,ACTIVE
2304106,14062008,ACTIVE
2304107,20021982,ACTIVE
2304108,06072011,ACTIVE
2304109,20062011,ACTIVE
2304110,24122009,ACTIVE
2304111,18052008,ACTIVE
2304112,07071999,ACTIVE
2304113,16061997,ACTIVE
2304114,18062008,ACTIVE
2304115,01011900,NON-ACTIVE
2304116,09012009,BLACKLIST
2304117,14091997,ACTIVE
2304118,31032005,ACTIVE
2304119,17012009,ACTIVE
2304120,06092001,ACTIVE
2304121,02082007,ACTIVE
2304122,03012004,ACTIVE
2304123,17021986,ACTIVE
2304124,08122002,ACTIVE
2304125,09052003,ACTIVE
2304126,21022009,ACTIVE
2304127,02052007,ACTIVE
2304128,24032010,ACTIVE
2304129,16102010,ACTIVE
2304130,17082007,ACTIVE
2304131,04072009,ACTIVE
2304132,11052010,ACTIVE
2304133,03032010,ACTIVE
2304134,06032008,ACTIVE
2304135,01052009,ACTIVE
2304136,02082008,ACTIVE
2305101,29082007,ACTIVE
2305102,25032009,ACTIVE
2305103,24081995,ACTIVE
2305104,30042004,ACTIVE
2305105,05022002,ACTIVE
2305106,02062007,ACTIVE
2305107,17052010,ACTIVE
2305108,08042004,ACTIVE
2305109,24061997,ACTIVE
2305110,14092002,ACTIVE
2305111,17112001,ACTIVE
2305112,29092004,ACTIVE
2305113,28011998,ACTIVE
2305114,14102005,ACTIVE
2305115,09072007,ACTIVE
2305116,04102003,ACTIVE
2305117,06032008,ACTIVE
2305118,30121997,BLACKLIST
2305119,11041999,ACTIVE
2305120,18012009,ACTIVE
2305121,24012006,ACTIVE
2305122,29101981,ACTIVE
2305123,07012009,ACTIVE
2305124,05122005,ACTIVE
2305125,01021990,ACTIVE
2306101,13052003,ACTIVE
2306102,30052023,ACTIVE
2306103,08122004,ACTIVE
2306104,24042007,ACTIVE
